Year,ID,Name,Nationality,Age,Height,Weight,Preferred Foot,Body Type,Skill Moves,Weak Foot,Finishing,ShotPower,Positioning,Crossing,Marking,StandingTackle,SlidingTackle,Interceptions,ShortPassing,Vision,BallControl,LongPassing,Stamina,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Value,Wage,Contract Valid Until,AttackingScore,DefendingScore,FieldingScore,GoalkeepingScore
24,239818,Rúben dos Santos Gato Alves Dias,Portugal,26,187,82,Right,Normal (185+),2,4,29,74,39,54,91,91,87,86,83,51,75,76,78,7,8,13,7,12,106500000.0,250000.0,2027.0,58.45,88.50000000000001,74.05,16.5
24,190871,Neymar da Silva Santos Júnior,Brazil,31,175,68,Right,Unique,5,5,83,79,86,83,35,32,29,37,85,90,94,81,78,9,9,15,15,11,85500000.0,115000.0,2025.0,94.75,42.05,87.5,17.2
24,192448,Marc-André ter Stegen,Germany,31,187,85,Right,Unique,1,4,14,67,11,18,25,13,10,22,61,70,30,63,35,86,85,89,86,91,54500000.0,220000.0,2028.0,34.75,31.15,54.25,85.70000000000002
24,200145,Carlos Henrique Venancio Casimiro,Brazil,31,185,84,Right,Unique,2,3,69,88,77,68,90,89,88,89,84,79,79,85,88,13,14,16,12,12,72000000.0,240000.0,2026.0,84.10000000000001,88.69999999999999,82.2,20.35
24,203376,Virgil van Dijk,Netherlands,31,193,92,Right,Unique,2,3,52,81,47,53,90,91,86,88,79,65,76,86,72,13,10,13,11,11,70500000.0,220000.0,2025.0,71.4,89.25,77.3,19.3
24,209331,Mohamed Salah Ghaly,Egypt,31,175,71,Left,Unique,4,3,92,82,92,80,38,43,41,55,84,84,86,77,87,14,14,9,11,14,85500000.0,260000.0,2025.0,94.90000000000002,53.2,85.15,19.650000000000002
24,239053,Federico Santiago Valverde Dipetta,Uruguay,24,182,78,Right,Unique,3,4,79,89,86,78,79,85,79,83,87,86,88,88,89,6,10,6,15,8,130500000.0,270000.0,2027.0,92.94999999999999,81.69999999999999,87.00000000000001,15.95
24,232293,Victor James Osimhen,Nigeria,24,185,78,Right,Lean (185+),3,4,91,86,90,62,36,45,22,34,74,70,86,54,81,14,14,10,9,6,126500000.0,120000.0,2025.0,90.64999999999999,47.6,75.6,19.25
24,210257,Ederson Santana de Moraes,Brazil,29,188,86,Left,Unique,1,3,14,68,20,20,29,15,8,27,61,70,40,65,44,86,82,91,86,86,70000000.0,210000.0,2026.0,38.65,33.5,57.35,85.00000000000001
24,212622,Joshua Walter Kimmich,Germany,28,177,75,Right,Normal (170-185),3,4,68,78,80,91,82,84,78,85,88,85,85,91,94,8,15,7,15,15,88000000.0,130000.0,2025.0,88.14999999999999,81.65,87.45,18.75
24,194765,Antoine Griezmann,France,32,176,73,Left,Unique,4,3,90,85,90,82,45,63,60,57,89,88,89,86,86,14,8,14,13,14,74000000.0,135000.0,2026.0,96.25,61.150000000000006,88.10000000000001,19.75
24,200389,Jan Oblak,Slovenia,30,188,87,Right,Unique,1,3,11,59,11,13,27,14,18,24,43,67,30,40,42,85,90,78,86,87,61000000.0,90000.0,2028.0,30.6,32.6,46.449999999999996,84.55000000000001
24,212198,Bruno Miguel Borges Fernandes,Portugal,28,179,69,Right,Unique,4,3,83,88,88,87,69,74,65,66,90,94,88,92,95,12,14,15,8,14,92000000.0,260000.0,2026.0,95.25,70.15,89.89999999999998,18.6
24,218667,Bernardo Mota Veiga de Carvalho e Silva,Portugal,28,173,64,Left,Lean (170-185),4,3,78,79,85,84,70,76,60,73,91,87,91,82,93,9,10,14,12,9,91500000.0,270000.0,2026.0,92.35000000000001,70.5,89.05,15.850000000000001
24,222665,Martin Ødegaard,Norway,24,178,68,Left,Lean (170-185),5,2,82,82,83,85,67,55,54,66,90,89,89,87,81,14,15,15,8,10,109000000.0,170000.0,2026.0,93.05000000000001,62.699999999999996,87.14999999999999,17.8
24,228702,Frenkie de Jong,Netherlands,26,181,74,Right,Unique,4,3,72,68,77,78,76,76,77,82,91,88,89,89,89,7,13,10,10,9,103500000.0,240000.0,2026.0,85.3,78.30000000000001,89.0,16.85
24,230621,Gianluigi Donnarumma,Italy,24,196,90,Right,Unique,1,3,12,59,14,12,20,14,16,26,36,60,30,34,34,90,82,79,83,89,85000000.0,90000.0,2026.0,33.300000000000004,30.400000000000002,43.65,84.15
24,231478,Lautaro Javier Martínez,Argentina,25,174,72,Right,Unique,4,4,90,85,90,58,55,31,44,45,75,78,86,73,80,11,8,8,8,13,107000000.0,150000.0,2026.0,90.89999999999999,54.699999999999996,80.04999999999998,18.25
24,235073,Gregor Kobel,Switzerland,25,195,88,Right,Normal (185+),1,3,10,56,10,13,15,15,15,14,39,59,34,33,30,86,84,74,85,89,81500000.0,64000.0,2026.0,31.1,27.150000000000002,43.9,83.35
24,215698,Mike Maignan,France,27,191,89,Right,Normal (185+),1,4,15,65,15,18,23,16,19,25,65,65,40,61,39,85,82,87,85,89,73000000.0,90000.0,2026.0,38.45,32.65,56.8,84.4
24,207865,Marcos Aoás Corrêa,Brazil,29,183,75,Right,Normal (170-185),3,3,59,65,70,68,90,89,88,89,84,76,79,85,83,6,6,12,10,13,73500000.0,140000.0,2028.0,72.9,87.44999999999999,80.89999999999999,16.9
24,167495,Manuel Peter Neuer,Germany,37,193,93,Right,Unique,1,4,13,68,12,15,17,10,11,30,60,70,46,68,43,84,85,90,88,84,9000000.0,55000.0,2024.0,38.900000000000006,30.8,58.8,84.7
24,177003,Luka Modrić,Croatia,37,172,66,Right,Lean (170-185),4,4,72,79,76,86,70,73,72,80,91,91,90,92,83,13,9,7,14,9,25000000.0,190000.0,2024.0,89.8,72.64999999999999,88.94999999999999,16.349999999999998
24,200104,손흥민 孙兴慜,Korea Republic,30,183,78,Right,Unique,4,5,89,88,90,83,47,34,33,39,82,81,82,72,88,11,13,13,6,10,77000000.0,170000.0,2025.0,95.05,47.0,82.4,17.35
24,256790,Jamal Musiala,Germany,20,184,72,Right,Lean (170-185),5,4,79,73,81,67,64,63,68,65,82,82,89,77,78,6,9,8,8,11,134500000.0,79000.0,2026.0,88.35,64.15,83.6,14.0
24,247635,Khvicha Kvaratskhelia,Georgia,22,183,70,Right,Normal (170-185),5,5,82,78,84,78,38,39,34,40,83,86,88,76,79,9,15,8,14,8,109000000.0,95000.0,2027.0,91.64999999999999,46.85000000000001,83.39999999999999,17.45
24,251854,Pedro González López,Spain,20,174,60,Right,Lean (170-185),4,4,72,68,79,68,68,77,65,73,88,88,88,86,87,12,7,11,8,8,105000000.0,165000.0,2026.0,84.55,72.14999999999999,87.35000000000001,15.600000000000001
24,241721,Rafael Alexandre Conceição Leão,Portugal,24,188,81,Right,Normal (185+),4,4,84,80,84,78,22,24,21,24,80,75,87,63,77,10,12,15,11,9,102500000.0,110000.0,2028.0,90.30000000000001,36.699999999999996,78.9,18.35
24,252371,Jude Victor William Bellingham,England,20,186,75,Right,Lean (185+),4,4,81,78,83,66,77,79,77,82,87,84,86,86,93,14,11,10,5,8,100500000.0,175000.0,2029.0,88.64999999999999,79.15,86.55,16.950000000000003
24,253163,Ronald Federico Araújo da Silva,Uruguay,24,188,79,Right,Normal (185+),2,3,56,61,56,58,86,86,86,85,76,59,68,66,73,11,14,9,11,8,93000000.0,175000.0,2026.0,62.650000000000006,85.6,69.15,18.700000000000003
24,246669,Bukayo Saka,England,21,178,65,Left,Lean (170-185),3,3,83,78,82,83,60,62,60,62,81,83,87,69,84,7,8,13,9,13,99000000.0,150000.0,2027.0,91.30000000000001,63.1,81.85,15.6
24,235243,Matthijs de Ligt,Netherlands,23,189,89,Right,Unique,2,3,50,84,44,52,87,85,88,82,79,45,73,78,75,12,11,11,12,10,83000000.0,84000.0,2027.0,69.10000000000001,85.6,71.8,18.9
24,240130,Éder Gabriel Militão,Brazil,25,186,78,Right,Unique,2,3,48,62,64,69,86,87,85,86,78,59,72,76,85,11,8,15,12,15,80000000.0,210000.0,2025.0,66.7,85.00000000000001,74.35000000000001,19.85
24,241096,Sandro Tonali,Italy,23,181,79,Right,Unique,3,4,69,82,75,78,83,84,81,84,85,79,85,83,86,13,9,8,7,7,84000000.0,140000.0,2028.0,86.15,83.30000000000001,82.94999999999999,16.700000000000003
24,224232,Nicolò Barella,Italy,26,175,68,Right,Normal (170-),3,3,78,77,83,79,80,79,81,83,86,83,87,83,94,11,5,13,14,11,83500000.0,135000.0,2026.0,88.6,80.10000000000001,85.85,16.650000000000002
24,231281,Trent Alexander-Arnold,England,24,180,69,Right,Unique,3,4,62,82,78,93,79,83,78,83,88,90,84,91,89,14,15,14,6,7,81000000.0,140000.0,2025.0,86.7,78.8,86.55000000000001,17.6
24,232411,Christopher Nkunku,France,25,175,73,Right,Normal (170-185),5,3,86,79,86,81,62,64,54,64,85,84,88,80,78,5,6,10,15,7,86500000.0,185000.0,2029.0,92.44999999999999,63.7,84.05,14.5
24,231443,Ousmane Dembélé,France,26,178,67,Left,Unique,5,5,75,83,80,86,42,30,33,36,80,83,87,76,68,6,6,14,10,13,80000000.0,150000.0,2028.0,90.49999999999999,41.9,80.64999999999999,14.700000000000001
24,20801,Cristiano Ronaldo dos Santos Aveiro,Portugal,38,187,85,Right,Unique,5,4,87,92,90,76,24,32,24,29,76,76,86,70,77,7,11,15,14,11,23000000.0,66000.0,2025.0,92.94999999999999,40.800000000000004,78.7,19.05
24,182521,Toni Kroos,Germany,33,183,76,Right,Normal (170-185),3,5,76,89,74,88,71,70,60,80,92,89,88,92,75,10,11,13,7,10,42000000.0,240000.0,2024.0,91.80000000000001,72.25000000000001,87.45,15.150000000000002
24,186153,Wojciech Tomasz Szczęsny,Poland,33,195,90,Right,Lean (185+),1,3,12,55,14,12,20,13,12,15,32,48,22,36,45,86,83,73,86,87,22000000.0,125000.0,2025.0,27.15,26.8,39.35,82.7
24,186942,İlkay Gündoğan,Germany,32,180,80,Right,Normal (170-185),4,4,82,79,84,77,77,75,67,75,88,86,91,84,75,11,14,5,5,13,53500000.0,220000.0,2025.0,91.45,74.35,85.79999999999998,16.1
24,189513,Daniel Parejo Muñoz,Spain,34,182,74,Right,Normal (170-185),3,4,83,81,81,86,72,73,71,80,92,90,86,90,75,5,9,12,14,8,31500000.0,64000.0,2024.0,92.34999999999998,73.6,86.05000000000001,14.55
24,204485,Riyad Mahrez,Algeria,32,179,67,Left,Unique,5,4,81,82,84,80,45,31,22,39,83,84,91,75,75,15,9,13,11,6,54000000.0,72000.0,2027.0,92.60000000000001,42.849999999999994,82.95,16.8
24,208722,Sadio Mané,Senegal,31,174,69,Right,Unique,4,4,85,85,85,78,42,42,38,35,83,83,86,71,79,10,10,15,7,14,57500000.0,87000.0,2027.0,92.35,48.55,82.2,18.35
24,210514,João Pedro Cavaco Cancelo,Portugal,29,182,74,Right,Unique,4,4,69,80,81,87,79,83,79,81,87,85,86,79,88,6,9,15,14,14,59500000.0,195000.0,2024.0,88.64999999999999,78.8,84.85000000000001,17.7
24,211110,Paulo Bruno Exequiel Dybala,Argentina,29,177,75,Left,Unique,4,3,83,84,82,82,32,41,39,42,86,91,93,79,72,5,4,4,5,8,68000000.0,130000.0,2025.0,95.25000000000001,44.75,84.7,12.100000000000001
24,215914,N'Golo Kanté,France,32,168,70,Right,Unique,2,3,64,71,72,68,88,90,85,88,80,77,81,74,84,15,12,10,7,10,45000000.0,73000.0,2026.0,79.05000000000001,85.25,80.10000000000001,17.200000000000003
24,216267,Andrew Robertson,Scotland,29,178,64,Left,Unique,3,2,55,76,80,87,82,83,81,83,82,82,83,76,95,11,8,10,7,14,59500000.0,170000.0,2026.0,82.2,80.60000000000001,82.80000000000001,16.900000000000002
24,223848,Sergej Milinković-Savić,Serbia,28,192,95,Right,Normal (185+),4,5,82,83,82,71,78,79,74,79,86,83,87,86,91,7,10,7,16,7,68000000.0,84000.0,2026.0,90.49999999999999,79.80000000000001,85.8,17.05
24,243812,Rodrygo Silva de Goes,Brazil,22,174,64,Right,Lean (170-185),4,4,87,76,83,79,24,34,30,21,80,82,87,73,81,9,8,12,8,5,86500000.0,210000.0,2028.0,90.65,35.8,81.45,14.75
24,256630,Florian Richard Wirtz,Germany,20,177,71,Right,Normal (170-185),4,4,78,74,80,77,59,57,44,45,88,88,89,81,83,14,14,13,6,10,83500000.0,65000.0,2027.0,88.8,54.400000000000006,85.95,16.400000000000002
24,232656,Theo Bernard François Hernández,France,25,184,81,Left,Unique,3,3,67,83,80,84,74,81,80,78,79,73,79,68,90,12,10,7,7,7,73500000.0,90000.0,2026.0,85.1,79.19999999999999,78.60000000000001,17.15
24,237383,Alessandro Bastoni,Italy,24,190,75,Left,Unique,2,3,26,49,39,70,87,87,83,87,78,69,76,82,81,11,5,9,11,12,73500000.0,95000.0,2028.0,58.85,85.80000000000001,77.85,17.3
24,237692,Philip Foden,England,23,171,69,Left,Unique,4,3,81,83,83,78,60,59,47,59,86,84,90,82,83,8,15,6,10,13,81500000.0,180000.0,2027.0,91.8,58.35,84.85,16.0
24,241486,Jules Koundé,France,24,180,75,Right,Normal (170-185),3,3,47,48,47,62,87,86,84,86,82,62,77,75,78,11,10,8,14,13,69500000.0,160000.0,2027.0,62.45,85.00000000000001,76.19999999999999,19.25
24,231677,Marcus Rashford,England,25,186,70,Right,Unique,5,3,86,93,87,77,40,38,33,39,79,79,84,72,76,11,6,15,7,14,71500000.0,185000.0,2028.0,93.60000000000001,47.85000000000001,79.94999999999999,18.0
24,224458,Diogo José Teixeira da Silva,Portugal,26,178,68,Right,Normal (170-185),4,5,85,86,87,73,53,57,45,56,77,78,84,72,79,7,12,15,9,11,67500000.0,180000.0,2027.0,90.95,60.35,79.7,18.2
24,234378,Declan Rice,England,24,185,80,Right,Normal (185+),2,3,61,78,58,55,83,84,82,86,83,78,79,84,91,8,11,14,5,9,63000000.0,130000.0,2028.0,77.25,83.30000000000003,82.30000000000001,16.05
24,203574,John Stones,England,29,188,76,Right,Normal (185+),3,4,54,55,52,63,86,86,84,84,86,78,84,79,74,7,15,11,10,8,49500000.0,180000.0,2026.0,69.35000000000001,84.05,81.19999999999999,17.35
24,212218,Aymeric Laporte,Spain,29,191,85,Left,Unique,2,3,45,68,54,58,86,86,85,87,83,68,78,81,67,10,11,5,14,5,49500000.0,70000.0,2026.0,66.60000000000001,85.10000000000001,76.55000000000001,16.5
24,226753,André Onana,Cameroon,27,190,93,Right,Stocky (185+),1,3,12,66,11,15,12,18,14,15,43,64,38,53,38,83,80,88,84,85,46000000.0,130000.0,2028.0,35.900000000000006,27.85,49.849999999999994,83.14999999999999
24,186345,Kieran Trippier,England,32,173,71,Right,Normal (170-185),3,4,54,82,77,92,82,84,81,83,84,85,85,86,85,11,14,8,11,10,37500000.0,150000.0,2025.0,83.85000000000001,80.35000000000001,84.00000000000001,17.900000000000002
24,188943,Kevin Trapp,Germany,32,189,84,Right,Normal (185+),1,4,13,58,12,13,15,14,10,22,25,46,24,12,45,83,81,77,85,86,26500000.0,51000.0,2026.0,27.700000000000003,27.95,34.3,81.50000000000001
24,192387,Ciro Immobile,Italy,33,185,85,Right,Unique,3,4,91,86,90,55,34,33,32,40,79,71,80,57,73,6,8,15,12,6,34500000.0,90000.0,2026.0,88.54999999999998,45.849999999999994,74.3,16.400000000000002
24,192629,Iago Aspas Juncal,Spain,35,176,67,Left,Lean (170-185),3,4,90,81,88,80,39,21,18,39,80,81,87,73,69,12,16,9,12,13,23000000.0,38000.0,2025.0,93.19999999999999,40.900000000000006,80.6,19.400000000000002
24,193041,Keylor Navas Gamboa,Costa Rica,36,185,80,Right,Normal (185+),1,3,15,56,16,11,28,14,14,22,40,64,30,37,39,84,80,75,84,87,6000000.0,60000.0,2024.0,32.7,31.200000000000003,45.099999999999994,81.8
24,197445,David Olatukunbo Alaba,Austria,31,180,78,Left,Normal (170-185),3,4,63,82,73,83,89,84,83,87,89,78,85,80,73,5,7,14,15,9,37000000.0,200000.0,2026.0,84.5,84.89999999999999,82.3,16.7
24,201535,Raphaël Varane,France,30,191,81,Right,Unique,2,4,46,52,55,42,88,87,83,85,78,59,76,76,65,11,11,9,5,14,44000000.0,160000.0,2025.0,61.05,85.45,72.55,18.4
24,202811,Damián Emiliano Martínez,Argentina,30,195,88,Right,Stocky (185+),1,4,16,62,12,22,11,20,20,13,57,66,38,59,40,83,83,82,84,85,36000000.0,100000.0,2027.0,35.45,27.250000000000004,52.85000000000001,82.85000000000001
24,205452,Antonio Rüdiger,Germany,30,190,85,Right,Lean (185+),2,3,40,84,49,68,86,84,83,82,80,61,71,82,70,14,15,10,12,8,44000000.0,200000.0,2026.0,69.55,84.85,73.7,19.9
24,206517,Jack Grealish,England,27,180,81,Right,Unique,4,3,76,76,82,83,58,54,48,49,85,87,90,81,83,11,6,11,10,13,57500000.0,200000.0,2027.0,90.35000000000001,57.75,85.7,16.25
24,208128,Hakan Çalhanoğlu,Turkey,29,178,76,Right,Normal (170-185),4,4,75,86,74,78,74,70,65,76,88,88,88,87,80,9,14,11,6,10,52500000.0,130000.0,2027.0,90.85000000000001,71.05,86.39999999999999,15.450000000000001
24,209658,Leon Christoph Goretzka,Germany,28,189,82,Right,Unique,3,4,81,85,84,75,74,83,76,85,85,82,84,83,83,13,8,15,11,9,54000000.0,100000.0,2026.0,91.10000000000001,81.94999999999999,83.64999999999999,19.0
24,209981,Yassine Bounou,Morocco,32,195,78,Left,Lean (185+),1,2,14,59,10,15,20,18,15,12,39,62,12,44,43,82,83,79,84,87,26500000.0,54000.0,2026.0,30.0,26.400000000000002,42.75,81.6
24,209989,Thomas Partey,Ghana,30,185,77,Right,Lean (185+),3,3,66,86,70,74,82,85,79,82,86,85,84,86,79,11,13,9,9,7,45000000.0,150000.0,2024.0,86.3,82.6,84.3,16.7
24,210935,Domenico Berardi,Italy,28,183,72,Left,Lean (170-185),4,3,85,83,86,78,42,30,30,25,85,83,87,79,78,5,6,5,5,6,54500000.0,40000.0,2027.0,92.24999999999999,41.949999999999996,83.15,12.4
24,213345,Kingsley Junior Coman,France,27,181,75,Right,Unique,5,3,75,83,83,81,29,27,21,23,80,82,87,74,69,5,3,5,3,5,57500000.0,100000.0,2027.0,89.74999999999999,35.400000000000006,80.55000000000001,11.7
24,217870,Giovanni Di Lorenzo,Italy,29,183,83,Right,Normal (170-185),3,3,66,72,71,80,82,83,81,83,80,66,79,74,90,8,10,8,10,7,47500000.0,86000.0,2028.0,79.75,81.80000000000001,77.9,16.5
24,224334,Marcos Javier Acuña,Argentina,31,172,69,Left,Stocky (170-185),3,3,66,83,80,86,81,85,84,81,84,82,84,77,91,8,14,13,13,14,39000000.0,46000.0,2025.0,87.6,82.5,83.25,18.85
24,241637,Aurélien Tchouaméni,France,23,187,81,Right,Lean (185+),3,3,65,78,74,68,81,82,79,84,85,82,81,84,83,9,8,12,12,7,58500000.0,160000.0,2028.0,82.35000000000001,81.95000000000002,82.6,16.65
24,226754,Ismaël Bennacer,Algeria,25,175,70,Left,Lean (170-185),4,3,67,85,75,74,78,83,80,83,85,81,85,83,84,9,12,10,16,15,53500000.0,84000.0,2027.0,86.45,80.5,83.85000000000001,18.950000000000003
24,232756,Fikayo Tomori,England,25,185,79,Right,Lean (185+),2,4,33,56,37,53,86,90,82,85,73,48,66,63,74,10,13,10,11,7,52500000.0,84000.0,2027.0,55.150000000000006,85.85000000000001,67.1,18.35
24,241852,Moussa Diaby,France,23,171,67,Left,Normal (170-185),4,3,80,73,79,76,48,35,46,48,80,77,85,72,82,8,9,8,8,14,60500000.0,105000.0,2028.0,86.00000000000001,47.5,79.35,14.2
24,251566,Gabriel Teodoro Martinelli Silva,Brazil,22,178,75,Right,Lean (170-185),4,3,83,77,82,79,44,44,43,39,79,79,84,65,82,10,6,7,6,6,61500000.0,145000.0,2027.0,89.25000000000001,50.00000000000001,79.25,14.700000000000003
24,233934,Aaron Ramsdale,England,25,191,77,Right,Lean (185+),1,3,14,65,18,15,20,16,15,24,56,65,36,57,35,84,79,87,81,86,43000000.0,105000.0,2026.0,35.199999999999996,28.85,51.75,81.35000000000001
24,237679,Randal Kolo Muani,France,24,187,73,Right,Lean (185+),4,4,82,81,85,64,32,33,32,38,80,82,85,62,74,7,14,15,8,5,58500000.0,110000.0,2028.0,88.45,43.65,79.14999999999999,17.15
24,239301,Lisandro Martínez,Argentina,25,178,77,Left,Normal (170-185),3,3,52,73,62,75,86,87,84,85,83,76,81,83,81,6,14,13,14,8,49500000.0,140000.0,2027.0,76.25,85.4,81.14999999999999,17.8
24,239580,Gleison Bremer Silva Nascimento,Brazil,26,188,82,Right,Stocky (185+),2,2,49,68,58,46,84,87,83,84,69,45,65,69,76,13,15,13,5,6,49000000.0,135000.0,2027.0,61.25,84.6,66.25,18.700000000000003
24,247851,Bruno Guimarães Rodriguez Moura,Brazil,25,182,74,Right,Lean (170-185),3,2,72,78,78,70,80,84,79,84,87,86,85,85,87,7,11,15,11,11,55500000.0,145000.0,2026.0,86.6,81.85,85.85000000000001,16.900000000000002
24,212190,Niklas Süle,Germany,27,195,99,Right,Stocky (185+),3,3,36,78,42,48,85,87,87,81,81,66,69,82,64,15,7,14,7,15,45000000.0,66000.0,2026.0,63.95000000000001,85.35000000000001,73.55,18.700000000000003
24,224293,Rúben Diogo da Silva Neves,Portugal,26,183,83,Right,Normal (170-185),3,4,66,86,62,80,78,79,77,80,88,87,83,88,79,16,12,10,8,10,47000000.0,62000.0,2026.0,85.15,77.55000000000001,84.1,17.1
24,227127,Alejandro Remiro Gargallo,Spain,28,192,79,Right,Lean (185+),1,4,13,60,11,12,14,17,18,20,36,35,26,29,42,84,78,80,86,86,36000000.0,43000.0,2027.0,28.25,28.150000000000006,37.449999999999996,81.5
24,232580,Gabriel dos Santos Magalhães,Brazil,25,190,87,Left,Normal (185+),2,2,37,62,44,38,85,84,85,86,78,59,71,74,71,12,8,13,10,7,47000000.0,130000.0,2027.0,55.349999999999994,84.64999999999999,70.7,17.4
24,235212,Achraf Hakimi Mouh,Morocco,24,181,73,Right,Lean (170-185),4,4,75,80,78,84,75,76,76,78,82,78,82,73,92,10,8,14,6,8,50500000.0,90000.0,2026.0,86.44999999999999,76.45,80.54999999999998,16.3
24,237086,김민재 金敏在,Korea Republic,26,190,86,Right,Normal (185+),2,3,23,51,48,35,86,87,85,85,75,57,68,69,77,13,7,11,14,11,46000000.0,82000.0,2028.0,51.25,85.10000000000001,69.3,18.35
24,238074,Reece James,England,23,178,87,Right,Stocky (170-185),3,3,69,83,78,88,82,85,80,79,83,82,82,78,77,8,12,7,13,11,50500000.0,120000.0,2028.0,86.85000000000001,82.05000000000001,81.4,18.15
24,212194,Julian Brandt,Germany,27,185,83,Right,Normal (185+),4,4,80,83,81,82,49,45,56,58,87,86,87,82,88,11,16,11,8,9,48500000.0,72000.0,2026.0,91.54999999999998,55.900000000000006,85.85,16.95
24,213648,Pierre-Emile Kordt Højbjerg,Denmark,27,187,84,Right,Normal (185+),3,4,68,85,69,68,84,85,73,83,84,75,80,84,87,9,7,12,11,11,43000000.0,110000.0,2025.0,83.85000000000001,81.89999999999999,82.0,15.899999999999999
24,220697,James Maddison,England,26,175,73,Right,Lean (170-185),4,4,80,83,84,83,59,65,42,44,86,88,88,85,78,11,14,14,12,14,49500000.0,120000.0,2028.0,92.5,56.099999999999994,85.14999999999999,17.35
24,220814,Lucas François Bernard Hernández Pi,France,27,184,79,Left,Unique,2,2,53,62,62,78,85,85,83,83,77,63,73,63,69,10,7,8,14,10,42500000.0,105000.0,2028.0,69.1,83.44999999999999,70.89999999999999,17.5
24,225193,Mikel Merino Zazón,Spain,27,189,83,Left,Normal (185+),3,3,79,84,81,77,80,84,76,85,86,83,85,84,83,9,12,9,13,14,48000000.0,54000.0,2025.0,89.69999999999999,82.25000000000001,84.19999999999999,19.200000000000003
24,230666,Gabriel Fernando de Jesus,Brazil,26,175,73,Right,Unique,4,3,83,84,88,74,45,30,28,32,81,79,87,66,82,13,8,6,6,15,50500000.0,165000.0,2027.0,91.55000000000001,45.35,80.7,18.05
24,233419,Raphael Dias Belloli,Brazil,26,176,68,Left,Lean (170-185),4,4,78,83,83,80,47,54,38,55,78,80,85,74,86,8,7,13,8,14,49500000.0,210000.0,2027.0,90.2,56.199999999999996,81.15,17.0
24,235805,Federico Chiesa,Italy,25,175,70,Right,Unique,4,4,81,86,83,75,60,48,44,54,78,77,82,72,85,6,7,8,9,7,50500000.0,140000.0,2025.0,90.95,58.050000000000004,80.14999999999999,13.95
24,241084,Luis Fernando Díaz Marulanda,Colombia,26,180,73,Right,Unique,4,4,81,84,82,76,28,38,34,25,76,77,87,71,84,10,13,13,14,14,49500000.0,165000.0,2027.0,91.10000000000001,41.4,80.2,19.3
24,164240,Thiago Emiliano da Silva,Brazil,38,183,79,Right,Normal (170-185),2,3,40,71,59,60,90,87,84,85,83,73,80,84,66,9,12,5,9,10,7500000.0,100000.0,2024.0,69.95,84.7,78.55,16.2
