Year,ID,Name,Height,Weight,Strength,Stamina,Agility,Composure
24,212194,Julian Brandt,185,83,71,88,84,84.0
24,213648,Pierre-Emile Kordt Højbjerg,187,84,78,87,62,85.0
24,220697,James Maddison,175,73,53,78,84,88.0
24,220814,Lucas François Bernard Hernández Pi,184,79,77,69,69,77.0
24,225193,Mikel Merino Zazón,189,83,80,83,74,80.0
24,230666,Gabriel Fernando de Jesus,175,73,72,82,92,78.0
24,233419,Raphael Dias Belloli,176,68,65,86,88,80.0
24,235805,Federico Chiesa,175,70,70,85,89,82.0
24,241084,Luis Fernando Díaz Marulanda,180,73,69,84,88,83.0
24,164240,Thiago Emiliano da Silva,183,79,78,66,62,86.0
24,177683,Yann Sommer,183,79,68,45,55,54.0
24,185122,Péter Gulácsi,191,86,74,37,41,45.0
24,188377,Kyle Walker,183,83,80,81,66,75.0
24,189509,Thiago Alcântara do Nascimento,174,70,60,70,90,88.0
24,189596,Thomas Müller,185,76,66,80,67,84.0
24,189881,Chris Smalling,194,81,85,75,54,88.0
24,192505,Romelu Lukaku Menama,191,94,95,64,59,82.0
24,192984,Koen Casteels,197,86,72,44,50,40.0
24,193747,Jorge Resurrección Merodio,176,75,75,85,70,84.0
24,198706,Luis Alberto Romero Alconchel,183,74,64,68,77,80.0
24,201024,Kalidou Koulibaly,186,93,91,68,45,82.0
24,202556,Memphis Depay,176,78,84,79,81,79.0
24,203841,Nick Pope,199,76,75,37,36,63.0
24,206113,Serge David Gnabry,176,77,69,75,86,82.0
24,207862,Matthias Ginter,189,86,84,75,55,76.0
24,208418,Yannick Ferreira Carrasco,181,73,61,75,86,84.0
24,209499,Fábio Henrique Tavares,188,78,80,85,61,85.0
24,210008,Adrien Rabiot,191,80,83,89,69,82.0
24,210035,Alejandro Grimaldo García,171,67,63,90,84,83.0
24,212616,Rodrigo Javier De Paul,180,70,79,92,78,81.0
24,216435,Stanislav Lobotka,170,64,71,85,77,77.0
24,222492,Leroy Aziz Sané,183,80,66,70,87,82.0
24,226161,Marcos Llorente Moreno,184,74,77,91,83,79.0
24,232363,Milan Škriniar,187,80,87,80,54,87.0
24,264240,Pablo Martín Páez Gavira,173,70,58,84,86,74.0
24,243715,William Alain André Gabriel Saliba,193,85,87,70,50,81.0
24,247090,Enzo Jeremías Fernández,178,76,75,85,76,80.0
24,234396,Alphonso Boyle Davies,185,77,75,81,86,78.0
24,242516,Cody Mathès Gakpo,189,76,76,76,80,83.0
24,246430,Dušan Vlahović,190,75,88,79,63,80.0
24,247819,Nico Schlotterbeck,191,90,84,73,68,77.0
24,253149,Jeremie Agyekum Frimpong,171,64,61,85,91,79.0
24,244260,Daniel Olmo Carvajal,179,72,54,76,86,82.0
24,251809,Sven Botman,193,81,90,70,57,77.0
24,230869,Unai Simón Mendibil,190,89,76,44,37,46.0
24,241464,Pau Francisco Torres,191,80,81,80,67,73.0
24,213661,Andreas Bødtker Christensen,187,82,78,73,61,79.0
24,216460,José María Giménez de Vargas,185,79,85,71,56,75.0
24,225116,Alex Meret,190,83,65,29,46,67.0
24,229582,Gianluca Mancini,190,77,83,87,34,80.0
24,225375,Konrad Laimer,180,72,69,90,76,79.0
24,225659,Guido Rodríguez,185,80,80,76,47,71.0
24,226851,Benjamin Pavard,186,81,78,81,66,78.0
24,227236,André-Franck Zambo Anguissa,184,78,87,85,76,82.0
24,228251,Lorenzo Pellegrini,186,77,74,90,80,84.0
24,229391,João Maria Lobo Alves Palhinha Gonçalves,190,85,89,87,63,83.0
24,230142,Mikel Oyarzabal Ugarte,181,79,57,79,77,83.0
24,234236,Patrik Schick,191,86,83,69,83,84.0
24,155862,Sergio Ramos García,184,82,81,54,66,86.0
24,167948,Hugo Lloris,188,82,43,41,54,55.0
24,178603,Mats Hummels,191,94,87,65,60,89.0
24,180930,Edin Džeko,193,80,86,67,62,87.0
24,183898,Ángel Fabián Di María Hernández,180,69,61,73,91,89.0
24,188350,Marco Reus,180,71,66,66,81,86.0
24,189332,Jordi Alba Ramos,170,68,61,83,88,80.0
24,189511,Sergio Busquets i Burgos,189,76,71,75,66,89.0
24,190460,Christian Dannemann Eriksen,181,76,50,74,68,88.0
24,193301,Alexandre Lacazette,175,73,79,72,82,84.0
24,199451,Wissam Ben Yedder,170,68,68,72,91,85.0
24,199845,Francesco Acerbi,192,88,85,68,32,86.0
24,200724,José Ignacio Fernández Iglesias,180,76,79,80,65,75.0
24,201153,Álvaro Borja Morata Martín,190,84,81,79,74,78.0
24,202648,Sergi Darder Moll,180,71,75,84,82,85.0
24,202652,Raheem Sterling,170,69,65,77,94,77.0
24,204638,Vilmos Tamás Orban,186,87,85,68,48,72.0
24,205498,Luiz Frello Filho Jorge,178,68,66,86,72,84.0
24,205693,Sébastien Haller,191,90,90,73,67,83.0
24,205988,Luke Shaw,181,75,77,75,71,84.0
24,208093,Gerard Moreno Balagueró,180,77,73,77,77,80.0
24,208333,Emre Can,186,86,86,84,70,83.0
24,208574,Filip Kostić,184,84,77,90,76,82.0
24,210324,Jonas Hofmann,176,72,66,90,79,82.0
24,210406,Piotr Sebastian Zieliński,180,75,57,79,85,75.0
24,210413,Alessio Romagnoli,185,75,84,68,55,77.0
24,216352,Marcelo Brozović,181,72,68,93,79,82.0
24,216547,Rafael Alexandre Fernandes Ferreira da Silva,172,66,40,84,90,81.0
24,216594,Nabil Fekir,173,75,80,77,84,88.0
24,220834,Marco Asensio Willemsen,182,76,63,75,80,82.0
24,224179,Borja Iglesias Quintás,187,86,92,70,57,82.0
24,230481,Ronaldo Jailson Cabrais Petri,177,75,68,88,86,81.0
24,248243,Eduardo Celmi Camavinga,182,68,80,81,81,82.0
24,234577,Diogo Meireles Costa,192,84,63,28,42,44.0
24,241461,Ferran Torres García,184,77,69,72,84,82.0
24,251517,Joško Gvardiol,185,80,83,79,68,75.0
24,253072,Darwin Gabriel Núñez Ribeiro,187,80,85,88,78,79.0
24,233486,Robin Le Normand,187,81,86,70,41,73.0
24,235790,Kai Lukas Havertz,190,82,69,77,75,84.0
24,252145,Nuno Alexandre Tavares Mendes,176,70,73,81,82,80.0
24,222077,Manuel Locatelli,185,75,77,89,65,82.0
24,229558,Dayotchanculle Oswald Upamecano,186,90,88,65,66,74.0
24,232488,Cristian Gabriel Romero,185,79,81,71,67,82.0
24,233049,Jadon Sancho,180,76,45,66,89,85.0
24,233084,Nahuel Molina Lucero,175,70,61,86,82,76.0
24,236772,Dominik Szoboszlai,186,74,67,74,80,82.0
24,243245,Orkun Kökçü,175,68,73,88,78,78.0
24,243580,Ikoma Loïs Openda,177,79,78,79,82,78.0
24,226268,Federico Dimarco,175,75,65,84,74,69.0
24,227535,Rodrigo Bentancur Colmán,187,73,72,86,70,86.0
24,236401,Noussair Mazraoui,183,65,70,85,86,79.0
24,240091,Guglielmo Vicario,188,76,53,18,40,55.0
24,240950,Pedro António Pereira Gonçalves,173,77,58,84,83,86.0
24,244369,Viktor Tsygankov,178,72,53,77,82,77.0
24,246242,Boulaye Dia,180,75,83,74,74,75.0
24,204935,Jordan Pickford,185,77,70,42,57,65.0
24,216393,Youri Tielemans,176,72,65,82,62,85.0
24,223197,Enes Ünal,187,78,83,78,81,76.0
24,223959,Lucas Torreira Di Pascua,166,60,68,92,87,82.0
24,225850,Presnel Kimpembe,189,80,87,79,68,79.0
24,230938,Franck Yannick Kessié,183,74,87,93,70,83.0
24,231447,Donyell Malen,178,77,73,76,87,79.0
24,239837,Alexis Mac Allister,176,72,69,86,76,83.0
24,241671,Dominik Livaković,187,79,75,32,65,64.0
24,212188,Timo Werner,180,76,64,81,79,79.0
24,213565,Thomas Lemar,171,66,57,81,90,81.0
24,223334,Joelinton Cassio Apolinário de Lira,186,81,87,88,68,82.0
24,225341,David García Zubiría,185,72,79,69,45,67.0
24,229237,Manuel Obafemi Akanji,187,91,80,71,66,78.0
24,229668,Mario Hermoso Canseco,184,76,80,73,70,77.0
24,235410,Youssef En-Nesyri,188,78,77,83,67,75.0
24,173608,José Luis Mato Sanmartín,192,80,85,68,63,74.0
24,178509,Olivier Giroud,193,91,90,61,55,85.0
24,184134,Fernando Francisco Reges,183,76,81,80,69,77.0
24,192318,Mario Götze,176,72,67,91,78,87.0
24,192366,Nicolás Hernán Gonzalo Otamendi,183,78,83,83,58,79.0
24,196978,Callum Wilson,180,66,77,73,75,80.0
24,198176,Stefan de Vrij,189,78,78,71,61,85.0
24,199434,Dušan Tadić,181,76,79,86,71,86.0
24,199482,Anthony Lopes,184,81,73,36,67,65.0
24,199503,Granit Xhaka,185,82,78,85,49,74.0
24,201942,Roberto Firmino Barbosa de Oliveira,181,76,73,84,83,88.0
24,204525,Íñigo Martínez Berridi,182,76,82,69,66,70.0
24,204639,Stefan Savić,187,80,82,70,57,80.0
24,204963,Daniel Carvajal Ramos,173,73,74,84,78,80.0
24,207410,Mateo Kovačić,177,80,65,75,86,84.0
24,209889,Raphaël Adelino José Guerreiro,170,69,49,77,90,87.0
24,210047,Fabian Lukas Schär,188,84,80,71,53,81.0
24,210411,Otávio Edmilson da Silva Monteiro,171,67,62,86,85,81.0
24,211688,José Luís Gayà Peña,172,66,67,86,82,76.0
24,211738,Mark Flekken,195,87,72,28,34,39.0
24,212096,Vincenzo Grifo,180,76,65,71,80,74.0
24,212242,Robert Andrich,186,86,83,87,63,73.0
24,212814,João Mário Naval da Costa Eduardo,179,73,65,85,80,86.0
24,213516,Ricardo Jorge da Luz Horta,173,63,63,83,83,73.0
24,214997,Ángel Martín Correa,171,70,68,84,90,79.0
24,216320,Seko Fofana,185,74,87,91,69,82.0
24,219522,Jeremías Conan Ledesma,186,83,65,40,40,42.0
24,220502,Mattia Zaccagni,177,63,63,77,92,83.0
24,224987,Ivan Provedel,192,84,56,28,38,68.0
24,228618,Ferland Mendy,180,73,84,91,81,78.0
24,230182,Lucas Luciano Mantela Patrício,183,77,85,44,36,48.0
24,230375,Josué Durval Chiamulera Vaz,185,80,76,77,76,71.0
24,231591,Javier Galán Gil,172,70,64,77,75,68.0
24,232498,Isaac Palazón Camacho,169,71,64,72,86,76.0
24,234642,Édouard Mendy,197,86,72,36,50,57.0
24,241788,Mehdi Taremi,185,83,80,82,74,84.0
24,263578,Alejandro Balde Martínez,175,69,63,75,81,64.0
24,237678,Ibrahima Konaté,194,95,90,65,60,76.0
24,242444,João Félix Sequeira,181,72,62,75,88,84.0
24,244675,Oihan Sancet Tirapu,188,72,76,80,85,85.0
24,255475,Antony Matheus dos Santos,172,63,62,84,93,82.0
24,233731,Alexander Isak,192,77,75,74,81,83.0
24,246172,Samuel Chimerenka Chukwueze,172,70,66,70,86,72.0
24,253306,Manuel Ugarte Ribeiro,182,77,76,83,69,84.0
24,247263,Edmond Fayçal Tapsoba,194,84,83,75,66,81.0
24,247394,Dejan Kulusevski,186,75,73,84,79,82.0
24,228881,Davide Calabria,177,70,65,82,81,78.0
24,229984,Ben Chilwell,180,77,69,80,69,75.0
24,233064,Mason Mount,181,74,58,83,73,82.0
24,233195,Xaver Schlager,174,78,76,86,75,74.0
24,233927,Lucas Tolentino Coelho de Lima,180,72,75,79,75,88.0
24,235173,Ibrahim Sangaré,191,77,91,87,64,76.0
24,235844,Edson Omar Álvarez Velázquez,187,73,86,90,60,74.0
24,240690,Nicolás Iván González,180,72,55,76,81,76.0
24,243576,Pedro Antonio Porro Sauceda,173,69,71,91,78,78.0
24,243630,Jonathan Christian David,175,70,77,85,75,81.0
24,204883,Brice Samba,187,90,75,37,39,66.0
24,206585,Kepa Arrizabalaga Revuelta,189,85,51,37,41,63.0
24,211990,Odisseas Vlachodimos,190,81,68,39,64,56.0
24,230899,Ademola Lookman,174,71,67,69,90,78.0
24,251892,Norberto Bercique Gomes Betuncal,194,88,91,78,63,78.0
24,208268,Bryan Cristante,186,80,82,89,62,82.0
24,208920,Nathan Aké,180,75,78,71,67,78.0
24,213331,Jonathan Tah,195,94,92,77,49,74.0
24,216388,Allan Saint-Maximin,173,67,72,77,93,83.0
24,222737,Malcom Filipe Silva de Oliveira,172,74,64,80,86,77.0
24,225126,Ellyes Joris Skhiri,185,74,67,93,74,82.0
24,226226,Giovani Lo Celso,177,68,69,74,81,83.0
24,227950,Yeray Álvarez López,182,79,77,68,55,79.0
24,232730,鎌田 大地,184,72,57,84,83,81.0
24,233096,Denzel Justus Morris Dumfries,188,80,89,92,69,74.0
24,235944,Brais Méndez Portela,187,76,73,71,76,80.0
24,236276,Arnaut Danjuma Adam Groeneveld,178,74,72,65,83,77.0
24,236786,Martin Terrier,184,78,75,77,73,79.0
24,252308,Almoatasembellah Ali Mohamed Al musrati,189,83,87,82,56,81.0
24,120533,Kléper Laveran de Lima Ferreira,188,79,86,82,62,80.0
24,140233,Francisco Guillermo Ochoa Magaña,185,78,60,38,57,60.0
24,157481,Raúl Albiol Tortajada,190,82,79,33,44,75.0
24,163587,Kasper Peter Schmeichel,189,89,63,34,60,65.0
24,168651,Ivan Rakitić,184,78,70,72,67,80.0
24,175943,Dries Mertens,169,61,35,67,79,84.0
24,178005,Rui Pedro dos Santos Patrício,190,84,77,45,61,66.0
24,178213,Etienne Capoue,190,80,79,79,48,76.0
24,179645,Simon Thorup Kjær,190,86,81,61,55,70.0
24,184087,Toby Albertine Maurits Alderweireld,186,81,82,72,51,86.0
24,184941,Alexis Alejandro Sánchez Sánchez,169,62,65,65,87,82.0
24,189575,Iker Muniain Goñi,170,66,50,76,92,84.0
24,190941,Lukáš Hrádecký,192,85,55,34,43,45.0
24,191202,Nemanja Matić,194,83,82,74,47,88.0
24,192563,Bernd Leno,189,83,70,44,52,63.0
24,192883,Henrikh Mkhitaryan,177,75,69,78,85,84.0
24,197655,Sebastián Coates Nión,196,94,93,83,37,77.0
24,198219,Lorenzo Insigne,163,59,34,70,89,81.0
24,198717,Wilfried Zaha,180,66,74,78,85,80.0
24,199304,Danilo Luiz da Silva,184,78,79,74,63,82.0
24,199915,Lewis Dunk,192,88,84,70,40,82.0
24,200260,Steven Berghuis,182,75,64,78,83,79.0
24,200888,Danilo Luís Hélio Pereira,188,83,89,84,52,77.0
24,201455,Geoffrey Edwin Kondogbia,188,76,92,88,72,81.0
24,201995,Felipe Anderson Pereira Gomes,175,70,67,87,87,81.0
24,204614,Mário Rui Silva Duarte,170,67,55,83,88,71.0
24,205175,Arkadiusz Krystian Milik,186,80,81,63,69,84.0
24,206511,Maximilian Arnold,184,74,72,81,68,79.0
24,207421,Leandro Trossard,171,67,57,76,92,83.0
24,207566,William Silva de Carvalho,187,79,90,81,45,86.0
24,208618,Lucas Vázquez Iglesias,173,70,56,92,81,75.0
24,209297,Frederico Rodrigues de Paula Santos,169,62,52,94,89,76.0
24,209519,Gaëtan Laborde,181,78,77,88,81,80.0
24,210385,Rui Tiago Dantas da Silva,191,91,66,27,34,49.0
24,212523,Anderson Souza Conceição,189,75,75,74,86,77.0
24,214097,Benjamin Bourigeaud,178,70,72,87,72,78.0
24,215316,Gerónimo Rulli,189,84,73,42,58,61.0
24,215333,Duván Esteban Zapata Banguera,189,88,95,75,67,82.0
24,216201,Iñaki Williams Arthuer,186,80,84,87,79,78.0
24,216354,Andrej Kramarić,177,73,69,85,82,81.0
24,216409,Matteo Politano,171,67,41,77,89,79.0
24,219693,Diego Carlos Santos Silva,186,79,87,50,62,75.0
24,221992,Hirving Rodrigo Lozano Bahena,175,70,52,76,89,75.0
24,226271,Fabián Ruiz Peña,189,70,67,86,66,84.0
24,230256,Adryan Juliano Zonta Torres,172,68,73,91,81,74.0
24,230258,Rosival Jailson Dourado Santos,175,70,56,91,72,81.0
24,230294,Louri Adriano Bisesi Barbosa,188,83,82,52,60,79.0
24,230347,Welington Kauê Dano Nascimento,178,69,68,89,83,82.0
24,230384,Nailton Suzuki Ito,180,75,74,75,75,78.0
24,230430,Marvin Oswaldo Rangel Azevedo,184,79,87,72,75,78.0
24,230977,Miguel Ángel Almirón Rejala,174,70,52,86,86,79.0
24,236045,Reinildo Isnard Mandava,180,73,75,83,77,73.0
24,239093,Jonathan Clauss,178,69,63,87,83,76.0
24,244263,Amir Rrahmani,192,83,85,70,49,70.0
24,251852,Karim-David Adeyemi,180,77,66,75,88,76.0
24,256903,Gonçalo Matias Ramos,185,82,79,89,78,75.0
24,260815,Arnau Martínez López,181,75,66,76,75,65.0
24,237681,久保 建英,173,64,59,74,85,72.0
24,239807,Davide Frattesi,178,74,63,79,74,79.0
24,241390,Eljif Elmas,184,74,64,76,84,74.0
24,246191,Julián Álvarez,170,71,70,79,87,82.0
24,262621,Giorgi Mamardashvili,199,88,74,45,35,26.0
24,231410,Brahim Abdelkader Díaz,171,59,44,66,89,72.0
24,234569,Florentino Ibrain Morris Luís,184,74,77,81,71,76.0
24,235619,Marcus Edwards,168,65,38,71,92,83.0
24,236987,Boubacar Bernard Kamara,184,68,77,82,66,84.0
24,237221,Juan Marcos Foyth,187,83,77,72,68,67.0
24,248148,Martín Zubimendi Ibáñez,181,74,68,79,72,81.0
24,256079,Moisés Isaac Caicedo Corozo,178,71,70,82,74,79.0
24,231352,Tammy Bakumo-Abraham,195,86,85,77,61,80.0
24,231521,Exequiel Alejandro Palacios,178,71,65,83,78,80.0
24,233738,Igor Zubeldía Elorza,181,73,80,80,74,73.0
24,234574,José Diogo Dalot Teixeira,184,76,76,82,77,77.0
24,235997,Francisco José Beltrán Peinado,165,64,63,67,77,66.0
24,236355,Luiz Felipe Ramos Marchi,187,80,80,54,65,64.0
24,236804,Facundo Axel Medina,184,77,81,69,62,78.0
24,237985,Kevin Danso,190,85,90,75,57,71.0
24,238067,Nicolò Zaniolo,190,79,90,77,77,74.0
24,243593,Armand Laurienté,177,79,33,72,74,70.0
24,245630,Youssouf Fofana,185,74,77,84,70,76.0
24,246186,Arthur Mendonça Cabral,186,89,88,78,71,71.0
24,247103,Dávid Hancko,188,80,84,80,74,75.0
24,247257,Roger Ibañez Da Silva,185,73,77,85,69,74.0
24,255253,Vítor Machado Ferreira,172,64,59,78,90,82.0
24,224158,Sofyan Amrabat,185,75,80,81,64,84.0
24,228813,Aleix García Serrano,173,68,64,73,74,78.0
24,229880,Aaron Wan-Bissaka,183,72,68,75,80,77.0
24,231936,Benjamin White,185,77,76,78,66,80.0
24,231943,Richarlison de Andrade,184,71,75,77,81,82.0
24,234742,Harvey Lewis Barnes,185,72,72,74,78,77.0
24,240679,Teun Koopmeiners,183,77,75,85,66,79.0
24,220901,David Raya Martin,183,75,38,31,68,65.0
24,221087,Pau López Sabata,189,77,52,42,40,62.0
24,226491,Kieran Tierney,180,73,71,77,74,75.0
24,227813,Oleksandr Zinchenko,175,64,63,75,78,83.0
24,237942,Pervis Josué Estupiñán Tenorio,175,78,73,76,74,69.0
24,210897,Chancel Mbemba Mangulu,182,81,82,77,67,73.0
24,211300,Anthony Martial,184,76,74,57,79,82.0
24,221660,Victor Jörgen Nilsson Lindelöf,187,80,78,69,62,83.0
24,221697,Ollie Watkins,180,70,77,88,79,74.0
24,222028,Julian Weigl,186,77,68,83,75,80.0
24,223550,Jonas Omlin,190,85,72,35,32,55.0
24,226162,Emiliano Buendía,172,72,63,74,80,77.0
24,226221,Aritz Elustondo Irribaria,180,71,77,70,58,77.0
24,228941,André Miguel Valente da Silva,185,84,77,77,77,84.0
24,232665,Mauro Wilney Arambarri Rosa,175,74,77,78,69,70.0
24,236632,David Neres Campos,175,69,64,73,88,85.0
24,238896,Eduardo Gabriel Aquino Cossa,173,72,52,84,86,71.0
24,255565,三笘 薫,178,71,62,75,89,77.0
24,138956,Giorgio Chiellini,187,85,90,62,48,83.0
24,146536,Jesús Navas González,172,60,35,78,81,79.0
24,169416,Carlos Alberto Vela Garrido,177,77,67,62,79,82.0
24,170368,Erik Lamela,181,79,61,68,80,76.0
24,173426,Simon Luc Hildebert Mignolet,193,87,72,31,34,61.0
24,174543,Claudio Andrés Bravo Muñoz,184,80,67,39,63,64.0
24,176550,David Ospina Ramírez,183,80,49,29,59,57.0
24,178086,Antonio Adán Garrido,190,94,77,32,55,63.0
24,181291,Georginio Gregion Emile Wijnaldum,175,74,73,75,82,80.0
24,182494,Néstor Fernando Muslera Micol,190,74,68,40,60,60.0
24,183711,Jordan Henderson,187,80,74,84,64,76.0
24,184200,Marko Arnautović,192,83,83,75,70,79.0
24,184344,Leonardo Bonucci,190,85,81,59,55,85.0
24,184392,Matteo Darmian,183,70,62,79,77,79.0
24,187598,Rafael Tolói,185,75,82,82,61,86.0
24,188567,Pierre-Emerick Emiliano François Aubameyang,187,80,71,62,71,79.0
24,189271,Francis Coquelin,176,74,79,75,72,78.0
24,190149,Óscar de Marcos Arana,182,78,75,84,75,75.0
24,193082,Juan Guillermo Cuadrado Bello,179,72,61,71,89,78.0
24,193165,Jesús Manuel Corona Ruíz,173,66,57,82,88,86.0
24,193198,Nemanja Gudelj,187,79,88,80,61,80.0
24,193698,Oliver Baumann,187,82,69,39,45,52.0
24,197061,Joël Andre Job Matip,194,90,80,67,53,79.0
24,197781,Francisco Román Alarcón Suárez,176,79,55,56,76,81.0
